"Computer","Drive","Total Available Space (GByte)","Total Use Space (GByte)","Total Free Space (GByte)"
dfs1anmasp,C:,89.3984336853027,12.3869934082031,77.0114402770996
dfs1anmasp,D:,4.51041030883789,4.51041030883789,0
fls3aeibgasp,C:,89.3984336853027,14.2742691040039,75.1241645812988
fls3aeibgasp,D:,14.9833946228027,0.661720275878906,14.3216743469238
fls3aeibgasp,E:,499.983394622803,152.132930755615,347.850463867188
gs1anmasp,C:,149.398433685303,18.6934356689453,130.704998016357
prntsrv1aeiasp,C:,89.3984336853027,15.9072341918945,73.4911994934082
prntsrv1aeiasp,D:,0,0,0
prntsrv2anmasp,C:,79.3984336853027,19.5203628540039,59.8780708312988
prntsrv2anmasp,D:,0,0,0
prntsrv2bntasp,C:,79.3984336853027,11.5421257019043,67.8563079833984
prntsrv2bntasp,D:,0,0,0
prsm1anmasp,A:,0,0,0
prsm1anmasp,C:,39.4619102478027,8.50272750854492,30.9591827392578
prsm1anmasp,D:,4.99706649780273,1.66322326660156,3.33384323120117
rds0anmasp,C:,89.3984336853027,15.052173614502,74.3462600708008
sql8anmasp,C:,79.4462852478027,27.9678115844727,51.4784736633301
sql8anmasp,D:,79.8729858398438,0.8184814453125,79.0545043945313
sql8anmasp,E:,79.8729858398438,17.6231079101563,62.2498779296875
sql8anmasp,F:,39.8729858398438,31.8378295898438,8.03515625
sql8anmasp,G:,29.8729858398438,0.49700927734375,29.3759765625
sql8anmasp,H:,14.9667358398438,0.12286376953125,14.8438720703125
sql8anmasp,I:,79.8729858398438,4.2423095703125,75.6306762695313
vsr1anmasp,C:,278.763668060303,27.6023559570313,251.161312103271
vsr1anmasp,D:,3725.7998008728,2080.26214599609,1645.53765487671
vsr1anmasp,F:,0,0,0
vms1anmasp,C:,79.4462852478027,35.9055862426758,43.540699005127
vms1anmasp,D:,1999.8730430603,1994.77172088623,5.10132217407227
vms1anmasp,E:,7290.1074180603,0.624332427978516,7289.48308563232
vsr2anmasp,C:,278.763668060303,28.4677238464355,250.295944213867
vsr2anmasp,D:,3725.7998008728,3396.63431930542,329.165481567383
vsr2anmasp,F:,0,0,0
chnxprts1aeibgasp,C:,89.3974571228027,13.5641708374023,75.8332862854004
chnxprts1anmasp,C:,89.3984336853027,13.402271270752,75.9961624145508
chnxprts1anmasp,D:,0.000822067260742188,0.000822067260742188,0
fls0anmasp,C:,89.3984336853027,12.7584953308105,76.6399383544922
fls0anmasp,D:,4.98339462280273,0.638881683349609,4.34451293945313
fls0anmasp,E:,499.983394622803,115.986766815186,383.996627807617
fls3anmasp,C:,89.3984336853027,15.5336952209473,73.8647384643555
fls3anmasp,D:,14.9833946228027,0.661949157714844,14.3214454650879
fls3anmasp,E:,499.983394622803,112.812522888184,387.170871734619
prntsrv0anmasp,C:,89.3984336853027,12.3369445800781,77.0614891052246
rdgt1anmasp,C:,79.4833946228027,50.3348808288574,29.1485137939453
sql1anmasp,C:,79.4462852478027,26.9287872314453,52.5174980163574
sql1anmasp,D:,249.872009277344,0.712646484375,249.159362792969
sql1anmasp,E:,499.872009277344,9.33245849609375,490.53955078125
sql1anmasp,F:,249.872009277344,0.6121826171875,249.259826660156
sql1anmasp,G:,99.8720092773438,0.11529541015625,99.7567138671875
sql1anmasp,H:,49.9657592773438,0.0604248046875,49.9053344726563
sql1anmasp,I:,79.8729858398438,4.5218505859375,75.3511352539063
